pair,query_id,bm25_count,top10_changed,bm25_in_top10,bm25_sample
2:gemma4_default_parser_bm25_on_run02.json,q3,1000,0,1,eca41fc1-173b-5283-bc2d-680af31a5509;3fd911fc-d689-5323-9b92-620716abad0f;ecf706e6-2f77-528c-82a6-647cbcc1a028;6c6ebe71-3c37-593a-9ebc-46ecc29a2cf3;3790ddbb-06c7-565b-a58f-0108e63e4945
2:gemma4_default_parser_bm25_on_run02.json,q4,1000,0,1,0cb47e2a-608c-5e87-99a9-b23dbe4e3673;36421733-88ff-5caf-a174-8c6020adef39;44ce9b45-a39e-5dce-9735-bf8786d11df1;97fd4d8e-813b-5309-b67b-a69749422714;8ba69e8f-4d47-5a26-b9de-099c9945c91a
2:gemma4_default_parser_bm25_on_run02.json,q5,1000,0,1,c3c7c307-fc1e-5547-aa2a-55437f958f37;f81d8654-47cb-5b70-81c3-5a838b2de2e8;5ee6f050-29e4-593e-b935-018f6cfb6a13;effebbec-2a18-5f73-8e41-f228f34dd286;364dc338-147f-5216-b3de-bc46fbf6ebf4
2:gemma4_default_parser_bm25_on_run02.json,q6,1000,0,1,13d79077-bfa6-53da-96fb-ad492f474b26;ce7cfd88-48cf-50b8-a4f5-dc5955a767ff;f7b9b9cc-f9b0-505e-bd14-834b485ebe71;30914beb-a2c8-5392-8ffa-f1649774e414;72f9d2d9-6fa9-56a2-bef4-02c9574a16d2
2:gemma4_default_parser_bm25_on_run02.json,q7,1000,0,1,6087eb9e-1cc9-51ec-9bd5-1c9a3925c350;0cb47e2a-608c-5e87-99a9-b23dbe4e3673;e74e635b-b46c-51c7-9ba1-9fbc405a6385;e2f00e11-a92d-5369-88ca-5befc1adc48f;13d79077-bfa6-53da-96fb-ad492f474b26
2:gemma4_default_parser_bm25_on_run02.json,q8,1000,0,1,923c0b09-8ee7-5081-8f88-2e44e05522b0;d7dec64a-35de-54cd-ba33-1619a8cb57df;7c0ac6b3-a0ae-53e8-8533-9621a96432e4;5e991241-bc29-5b5d-a586-a845239c40cd;6c6ebe71-3c37-593a-9ebc-46ecc29a2cf3
2:gemma4_default_parser_bm25_on_run02.json,q9,1000,0,1,73375f83-5666-580a-9488-d46de2998b86;57283f2a-3101-513d-8f43-078d063f255b;bbbab21e-ec5b-51c2-8680-dffb01145c79;4bd5c3a0-479b-5a0d-833b-899107ed7eda;7441e00c-6689-5c9e-a382-e5289b0fe791
2:gemma4_default_parser_bm25_on_run02.json,q10,1000,0,1,d3a45ca7-aeef-58be-a2ef-e3fc11ab75e4;79096e7d-7ccb-5bdb-a281-2fd8cd6fe457;025e4f27-aef2-52a7-8e31-a637f5e564ba;2f8e8e90-c731-52a9-bb44-6c65f089578f;744b959d-b503-5e4e-8f5c-6b923da2d4b2
2:gemma4_default_parser_bm25_on_run02.json,q11,1000,0,1,7441e00c-6689-5c9e-a382-e5289b0fe791;1e6bf7f0-d854-58cd-8b25-aeefdf0a6bdd;06476010-c9fe-58f7-9812-ee4917c1f1d0;09a68548-294f-5dfb-8329-b885fc54cb07;5f8556e8-8f97-5d31-9d39-0c1f039848ce
2:gemma4_default_parser_bm25_on_run02.json,q12,1000,0,1,30a8814c-b444-545d-b7d5-9a10624614b9;1ff49511-7057-5bef-bd14-6f86b66ec458;58c1897e-e6ab-50a8-bee8-d71ba9ff0935;f56877b1-3d99-530b-ac09-412c27a3917a;77470c27-6469-53bc-b2c4-dfb6cb425666
